epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.1918,1.71159,3.69497,1.5557,0.01667,0.5,0.33151,0.18143,1.58535,3.08872,1.26795,0.000547729,0.000547729,0.000547729
2,62.7884,1.67336,2.58016,1.48622,0.37573,0.70833,0.48638,0.26019,1.71727,7.85025,1.69173,0.00104878,0.00104878,0.00104878
3,81.8589,1.65539,2.1413,1.48914,0.37066,0.45833,0.38164,0.18372,1.94906,2.84753,1.75524,0.00149481,0.00149481,0.00149481
4,102.486,1.63291,1.8358,1.4662,0.46659,0.41415,0.3661,0.20481,1.70367,2.07573,1.59193,0.00141945,0.00141945,0.00141945
5,122.309,1.59506,1.6002,1.4574,0.83379,0.75,0.87461,0.4233,1.65471,1.25475,1.50768,0.00133693,0.00133693,0.00133693
6,142.173,1.56486,1.50292,1.41919,0.7603,0.98956,0.92619,0.501,1.56977,1.25454,1.40419,0.00125442,0.00125442,0.00125442
7,163.119,1.51718,1.33862,1.39233,0.72901,0.90464,0.80861,0.51076,1.44068,1.07793,1.36468,0.0011719,0.0011719,0.0011719
8,182.113,1.4712,1.23683,1.35305,0.86875,0.91667,0.94391,0.55645,1.55186,0.92858,1.40432,0.00108938,0.00108938,0.00108938
9,201.991,1.44471,1.12925,1.32447,0.93328,0.87628,0.95864,0.52965,1.63026,0.91385,1.4211,0.00100687,0.00100687,0.00100687
10,221.979,1.36894,1.06055,1.30383,0.89161,0.9906,0.98357,0.56492,1.39051,0.74301,1.36939,0.000924352,0.000924352,0.000924352
11,243.769,1.33451,0.92332,1.29342,0.96637,0.91667,0.96833,0.56855,1.56855,0.83311,1.32664,0.000841835,0.000841835,0.000841835
12,262.602,1.31391,0.87791,1.28878,0.85107,0.98876,0.975,0.58194,1.28835,0.75575,1.21618,0.000759318,0.000759318,0.000759318
13,282.187,1.29882,0.84917,1.28842,0.971,0.91667,0.975,0.62808,1.23682,0.76963,1.18988,0.000676802,0.000676802,0.000676802
14,300.614,1.28259,0.81884,1.26624,0.9084,0.9882,0.98357,0.56455,1.42688,0.75864,1.27287,0.000594286,0.000594286,0.000594286
15,319.802,1.23368,0.76139,1.22971,0.90878,1,0.97143,0.59484,1.46654,0.68757,1.30255,0.000511769,0.000511769,0.000511769
16,338.357,1.21517,0.73518,1.21737,0.98598,0.91667,0.98357,0.65538,1.23112,0.63578,1.20534,0.000429253,0.000429253,0.000429253
17,357.122,1.1743,0.72033,1.20133,0.98707,0.98206,0.995,0.64124,1.35512,0.62973,1.19563,0.000346736,0.000346736,0.000346736
18,376.13,1.17428,0.69018,1.20466,0.90707,1,0.98357,0.65009,1.28088,0.62405,1.18223,0.00026422,0.00026422,0.00026422
19,394.502,1.17115,0.703,1.20765,0.98353,0.98949,0.995,0.66106,1.32225,0.58594,1.20498,0.000181703,0.000181703,0.000181703
20,414.422,1.12644,0.67789,1.18138,0.98669,0.91667,0.98357,0.68238,1.26514,0.58245,1.15184,9.92E-05,9.92E-05,9.92E-05
