epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8215,0.9279,1.9477,1.41013,1,0.91098,0.995,0.78181,0.69222,2.50607,1.32539,0.00065,0.00065,0.00065
2,27.0026,0.79301,1.1255,1.28021,1,0.7712,0.92,0.63743,0.95157,2.42575,1.59151,0.00122977,0.00122977,0.00122977
3,40.2466,0.82963,1.00975,1.29136,0.18297,0.4,0.1015,0.02676,3.15217,3.66614,4.48714,0.00172153,0.00172153,0.00172153
4,54.4312,0.7693,0.84567,1.25173,1,0.96239,0.995,0.79419,0.78522,1.3413,1.26634,0.001604,0.001604,0.001604
5,67.549,0.74678,0.7438,1.23166,0.98888,1,0.995,0.83012,0.50014,0.61057,0.98904,0.001472,0.001472,0.001472
6,83.1978,0.49372,0.75435,1.14211,0.98387,1,0.995,0.88336,0.45587,0.63301,0.94785,0.00134,0.00134,0.00134
7,96.0021,0.44365,0.58997,1.08136,0.99025,1,0.995,0.94706,0.35935,0.41474,0.80002,0.001208,0.001208,0.001208
8,107.751,0.40815,0.49511,1.05851,0.99079,1,0.995,0.94706,0.40243,0.39716,0.88517,0.001076,0.001076,0.001076
9,119.695,0.38034,0.42751,1.02923,0.99127,1,0.995,0.96704,0.34046,0.35871,0.75721,0.000944,0.000944,0.000944
10,131.885,0.35024,0.37818,0.99043,0.99122,1,0.995,0.95005,0.27779,0.29447,0.73193,0.000812,0.000812,0.000812
11,143.824,0.3328,0.35054,0.97968,0.99106,1,0.995,0.97103,0.31311,0.26539,0.75395,0.00068,0.00068,0.00068
12,156.341,0.31831,0.32091,0.95336,0.99115,1,0.995,0.94505,0.25688,0.20593,0.71727,0.000548,0.000548,0.000548
13,168.298,0.30596,0.30371,0.95925,0.99119,1,0.995,0.94039,0.26076,0.19758,0.71931,0.000416,0.000416,0.000416
14,181.523,0.29386,0.2904,0.94446,0.99121,1,0.995,0.96704,0.22777,0.1918,0.69371,0.000284,0.000284,0.000284
15,194.983,0.27007,0.26984,0.91871,0.99111,1,0.995,0.96304,0.24846,0.17417,0.70153,0.000152,0.000152,0.000152
